Day,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,catchment
1,30324,28114,27254,27501,26688,26484,21946,24566,26205,28866,27752,29008,28330,36289,25843,31052,OT_DunedinTahuna
2,28099,28393,27648,26150,25859,26202,22794,25522,26134,30091,29250,32417,27884,33854,26060,27353,OT_DunedinTahuna
3,27044,44434,27025,25838,26102,35255,23157,33423,26251,28338,28658,32872,27280,32015,25893,26116,OT_DunedinTahuna
4,26338,32108,26644,33204,25805,29334,22611,53722,25508,28734,28669,28158,27748,30193,25211,26562,OT_DunedinTahuna
5,26372,30151,24996,34377,25679,39072,23981,41409,25382,30326,28565,26138,27667,29556,27553,31676,OT_DunedinTahuna
6,29177,30437,26711,30624,25233,35967,22523,26849,25303,33376,27965,27952,27452,28755,31321,48660,OT_DunedinTahuna
7,85326,29721,31332,29431,25312,28841,22490,26507,31734,34889,27821,28152,27545,56849,27530,55530,OT_DunedinTahuna
8,42562,27860,28520,28451,25979,27696,23594,26006,31859,28822,32989,28614,66376,41817,28523,37895,OT_DunedinTahuna
9,35346,28840,27909,34299,26244,27825,22008,30632,29044,28727,36522,28780,77517,34291,26414,30920,OT_DunedinTahuna
10,32144,30969,53926,30080,25812,26783,26796,34973,29342,27937,39486,31582,41767,33287,26099,28508,OT_DunedinTahuna
11,30643,32887,33969,44437,25846,31459,26525,28521,28789,28782,32057,30008,34260,35774,26063,27919,OT_DunedinTahuna
12,29944,30520,33652,80016,25740,27198,24285,40208,28461,39407,30050,29813,41767,31782,28959,30410,OT_DunedinTahuna
13,29294,45474,55273,44502,52507,26787,24218,30959,28854,30421,29374,35317,34260,30432,43608,27953,OT_DunedinTahuna
14,28718,32969,47501,36123,47388,25215,24320,34683,28671,28880,41153,36156,158410,29303,36346,25833,OT_DunedinTahuna
15,29716,30170,36993,31990,31497,36103,23569,28452,31777,27032,34947,32289,66699,28959,29906,26056,OT_DunedinTahuna
16,65368,29188,32714,29468,28924,41918,23199,28452,30858,25090,31934,32050,46483,28555,30998,26056,OT_DunedinTahuna
17,40409,33026,32553,28956,26494,38741,23914,27631,30789,25085,31838,31566,36351,28316,28080,27426,OT_DunedinTahuna
18,58713,30970,30583,29446,26182,29459,24029,27160,28889,25948,31020,28734,34280,30481,26971,33547,OT_DunedinTahuna
19,49908,28049,28731,30563,25668,26754,48159,32288,27977,26797,30702,37631,44936,28672,26858,31080,OT_DunedinTahuna
20,37369,39205,30594,28280,23749,26093,33918,28725,27269,27057,29259,44217,48555,28157,26921,28301,OT_DunedinTahuna
21,33767,29675,29592,27021,28908,25800,25662,27281,28218,27057,31566,32378,39747,26918,28853,27125,OT_DunedinTahuna
22,32416,27265,30638,26744,41344,29023,24337,28873,32491,35254,32360,30233,36958,27429,26754,25790,OT_DunedinTahuna
23,30586,27978,28628,25561,28886,32595,23592,30614,31269,28647,29952,28911,33063,27361,26255,24734,OT_DunedinTahuna
24,29339,27040,27626,24608,27446,26520,24226,27013,30991,28188,29351,27737,30732,27630,24954,23954,OT_DunedinTahuna
25,28441,26923,27951,26657,26377,22976,24774,26504,28651,27838,29848,26505,36941,26757,24954,29911,OT_DunedinTahuna
26,28935,29746,27292,26850,28277,23041,25888,27945,27833,28520,29453,27242,202975,25834,29540,27206,OT_DunedinTahuna
27,31626,31052,28164,34472,49896,34597,24965,26410,27963,29764,28766,33612,258685,25090,27282,26679,OT_DunedinTahuna
28,28445,36277,27034,28405,29218,44967,24360,26205,28766,28507,28472,39224,125077,24835,26464,45793,OT_DunedinTahuna
29,28320,31167,31317,26841,27704,26366,23677,,28766,28328,28237,30247,62997,25157,27109,48105,OT_DunedinTahuna
30,27846,31446,29904,26491,14102,26292,23878,,29158,28120,28555,29731,45436,25230,34525,34912,OT_DunedinTahuna
31,27053,28304,,26127,,23914,25354,,29014,,29267,,39592,25894,,31703,OT_DunedinTahuna
1,12320,10121,9487,10118,11387,11608,9838,11498,11806,7234,923,7901,7246,11698,6818,12761,OT_GreenIsland
2,11805,9802,9726,10187,11246,11610,10076,11396,11734,6669,1102,8089,7611,11267,7187,10713,OT_GreenIsland
3,11485,13646,9821,10660,11330,11686,10116,12443,11876,7773,1267,9435,6684,10318,7012,8887,OT_GreenIsland
4,11072,11234,9910,11641,10197,11444,10510,15504,11593,8381,5514,8161,6095,9604,6798,9716,OT_GreenIsland
5,10831,10763,9465,12601,10289,13384,10663,13731,10970,8408,9169,6404,5336,9269,6641,12251,OT_GreenIsland
6,11477,10910,10289,11419,10629,13968,10849,11228,10473,8591,8128,7031,3880,8493,7566,14488,OT_GreenIsland
7,21276,10469,11133,11809,11177,13068,10385,11782,10039,35716,8408,6048,3988,13576,6682,12215,OT_GreenIsland
