Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Dunedin (Musselburgh Ews),15752,I50954,-45.90129,170.5147,4,H,Niwa
Middlemarch Ews,18437,I50513,-45.51814,170.13561,213,H,Niwa
Ranfurly Ews,18593,I50115,-45.12427,170.10045,450,H,Niwa
Windsor Ews,18594,I50087,-45.00829,170.82281,81,H,Niwa
Green Island (Kaikorai Estuary),22692,I5094A,-45.915,170.407,27,T,N/A
Oamaru Aws,25937,I50194,-45.10148,170.95052,40,H,N/A
Balclutha (Telford Ews),26163,I69276,-46.29282,169.7315,11,H,Niwa
Reefton Ews,3925,F21182,-42.116,171.86,198,G,Niwa / West Coast Rural Fire Dis
Oamaru Ews,40986,I51003,-45.057,171.023,20,G,Niwa
Balclutha (Finegand Ews),45319,I69277,-46.273,169.739,6,H,Niwa
Melford Hills,5033,H40771,-44.759,170.773,441,G,N/A
Oamaru Airport Aws,5142,I41902,-44.97212,171.08108,30,H,Metservice
Islay Downs,5302,I50241,-45.249,170.459,360,G,N/A
Palmerston,5323,I50471,-45.47554,170.71444,21,H,N/A
Lee Flat,5335,I50701,-45.783,170.027,354,G,N/A
Long Beach,5354,I50765,-45.755,170.638,10,T,N/A
Mosgiel Town,5361,I50832,-45.873,170.33,8,G,N/A
Maungatua,5396,I50912,-45.91,170.149,25,G,N/A
Lauder Ews,5535,I59065,-45.0401,169.68419,375,H,Niwa
Glenledi Rd,5703,I60102,-46.175,170.083,61,G,N/A
Balclutha,5866,I69272,-46.238,169.749,12,G,N/A
Inchclutha (T'Graph Rd),5886,I69382,-46.302,169.824,8,G,N/A
Nugget Point Aws,5893,I69482,-46.44767,169.81215,131,H,Metservice
Dunedin Aero Aws,7339,I50922,-45.92675,170.19684,2,H,Metservice
"Note: Position precision types are: ""W"" = based on whole minutes"," ""T"" = estimated to tenth minute",,,,,,
G = derived from gridref ," ""E"" = error cases derived from gridref",,,,,,
H = based on GPS readings (NZGD49)," ""D"" = by definition i.e. grid points.",,,,,,
,,,,,,,
Rain: Daily,,,,,,,
Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
15752,20210701:0900,0,-,40.1,0,24,D
18437,20210701:0900,0,-,60.2,0,24,D
18593,20210701:0900,0,-,83.5,0,24,D
18594,20210701:0900,0,-,53.6,0,24,D
22692,20210701:0900,0.4,-,0,0,24,D
25937,20210701:0900,0,-,10,0,24,D
26163,20210701:0900,0,-,0.2,0,24,D
3925,20210701:0900,0,-,0.3,0,24,D
40986,20210701:0900,0,-,59,0,24,D
5033,20210701:0900,0,-,-,-,24,D
5142,20210701:0900,0,-,42.4,0,24,D
5302,20210701:0900,0,-,0.4,0,24,D
5335,20210701:0900,1.4,-,0,1.1,24,D
5354,20210701:0900,0.3,-,4.7,0,24,D
5361,20210701:0900,0,-,0.3,0,24,D
5396,20210701:0900,0,-,0.3,0,24,D
5535,20210701:0900,0,-,76.4,0,24,D
5703,20210701:0900,0.5,-,0,0.2,24,D
5866,20210701:0900,0.7,-,0,0.5,24,D
5886,20210701:0900,1.2,-,0,1,24,D
5893,20210701:0900,0.8,-,0,0.6,24,D
7339,20210701:0900,0.2,-,0.2,0,24,D
15752,20210702:0900,0,-,40.7,0,24,D
18437,20210702:0900,0,-,60.6,0,24,D
18593,20210702:0900,0,-,83.9,0,24,D
18594,20210702:0900,0,-,54.2,0,24,D
22692,20210702:0900,0.1,-,0.6,0,24,D
