SampleLocation,sars_gcl,Date,Result,copies_per_day_per_person,avg_rain,avg_rain.lag1,avg_rain.lag2,avg_rain.lag3,avg_rain.lag4,avg_rain.lag5,avg_rain.lag6,avg_rain.lag7,population,sars_per_person
AU_ArmyBay,500,2021-12-29,Detected,134070,0.8,0,0,0,0,0,0,0,54879,0.009110953187922521
AU_ArmyBay,0,2022-01-11,Not detected,0,0,0,0,0.2,0,0,0,0,54879,0
AU_ArmyBay,0,2022-01-25,Not detected,0,2,1.2,0,0,0,0,0,0,54879,0
AU_ArmyBay,0,2022-02-01,Not detected,0,0,0,0,0,0,1,1.8,2,54879,0
AU_ArmyBay,0,2022-02-08,Not detected,0,0.6,38,2.6,0,0,0,0,0,54879,0
AU_ArmyBay,1133.61,2022-02-15,Detected,303966,0,0.2,0.6,2,0.2,0.2,0.4,0.6,54879,0.020656535286721695
AU_ArmyBay,500,2022-02-22,Detected,134070,0,0,0,0,0,0,0,0,54879,0.009110953187922521
AU_ArmyBay,21249.89,2022-02-24,Detected,5697953,0,0,0,0,0,0,0,0,54879,0.3872135060770058
AU_ArmyBay,30291.73,2022-03-01,Detected,8122435,0,25.4,0,0,0,0,0,0,54879,0.5519730680223764
AU_ArmyBay,171569.56,2022-03-04,Detected,46004726,0,1,0,0,25.4,0,0,0,54879,3.126324459264928
AU_ArmyBay,126930.25,2022-03-08,Detected,34035125,1,0.4,0,0.4,0,1,0,0,54879,2.312911131762605
AU_ArmyBay,64868.1,2022-03-11,Detected,17393756,0,0,0,1,0.4,0,0.4,0,54879,1.1820204449789538
AU_ArmyBay,19854.95,2022-03-18,Detected,5323913,0,0,0,0,0,0,0,0,54879,0.3617950399970845
AU_ArmyBay,0,2022-03-25,Not detected,0,0.2,10.8,14.6,11.6,31.2,0.8,6.6,0,54879,0
AU_ArmyBay,27749.88,2022-04-01,Detected,7440863,0,0,0,0,0,0,0,0.2,54879,0.5056557153009348
AU_ArmyBay,19712.84,2022-04-05,Detected,5285808,0,0,0,0,0,0,0,0,54879,0.3592055248820132
AU_ArmyBay,7766.19,2022-04-08,Detected,2082429,0,0,0.4,0,0,0,0,0,54879,0.141514787077024
AU_ArmyBay,22019.16,2022-06-14,Detected,5904225,3.6,6.6,7.2,9.6,2.2,0,0.8,3.8,54879,0.4012310719947521
AU_ArmyBay,56736.48,2022-07-19,Detected,15213341,4,0,0.6,0,17.6,0.6,8,34,54879,1.0338468266550047
