Sample Location,Estimated Loss in Concentration,p-value
WG_Seaview,0.089572172,2.16E-16
AU_Warkworth,0.074916334,2.19E-08
AU_Western,0.027735691,2.16E-04
AU_Rosedale,0.075742118,5.65E-04
WG_Porirua,0.076942072,9.41E-04
CA_Christchurch,0.090699644,0.002195523
WG_Paraparaumu,0.109453332,0.002275819
CA_Ashburton,0.141547183,0.006247652
WG_Masterton,0.119749906,0.006360636
WG_MoaPoint,0.076764635,0.011367617
MW_Levin,0.057237728,0.022743762
WK_Hamilton,0.057391867,0.02310188
CA_Rangiora,0.125221628,0.110137465
WG_Karori,0.045511483,0.155709072
MA_Blenheim,0.039178851,0.279699473
AU_Eastern,0.008162188,0.67153378
AU_SouthWestern,0.009670866,0.727821068
