DATECOLLECTED,SAMPLELOCATIONSMASTER,SAMPLENO,FINALRESULT,daily_flow_rate_m3
10/5/2021,AU_ArmyBay,21EV2395-001-0,Detected,NULL
10/12/2021,AU_ArmyBay,21EV2541-001-0,Detected,NULL
10/14/2021,AU_ArmyBay,21EV2648-001-0,Detected,NULL
10/19/2021,AU_ArmyBay,21EV2753-001-0,Detected,NULL
10/21/2021,AU_ArmyBay,21EV2835-001-0,Detected,NULL
10/26/2021,AU_ArmyBay,21EV2873-001-0,Detected,NULL
11/2/2021,AU_ArmyBay,21EV3091-001-0,Detected,NULL
11/4/2021,AU_ArmyBay,21EV3201-001-0,Detected,NULL
11/11/2021,AU_ArmyBay,21EV3411-001-0,Detected,NULL
11/23/2021,AU_ArmyBay,21EV3723-001-0,Detected,NULL
11/30/2021,AU_ArmyBay,21EV3901-001-0,Detected,NULL
12/14/2021,AU_ArmyBay,21EV4296-001-0,Detected,NULL
12/29/2021,AU_ArmyBay,21EV4512-001-0,Detected,NULL
2/15/2022,AU_ArmyBay,22EV1141-001-0,Detected,NULL
2/22/2022,AU_ArmyBay,22EV1287-001-0,Detected,NULL
2/24/2022,AU_ArmyBay,22EV1452-001-0,Detected,NULL
3/1/2022,AU_ArmyBay,22EV1476-001-0,Detected,NULL
3/4/2022,AU_ArmyBay,22EV1594-001-0,Detected,NULL
3/8/2022,AU_ArmyBay,22EV1675-001-0,Detected,NULL
3/11/2022,AU_ArmyBay,22EV1764-001-0,Detected,NULL
3/18/2022,AU_ArmyBay,22EV1929-001-0,Detected,NULL
4/1/2022,AU_ArmyBay,22EV2274-001-0,Detected,NULL
4/5/2022,AU_ArmyBay,22EV2356-001-0,Detected,NULL
4/8/2022,AU_ArmyBay,22EV2516-001-0,Detected,NULL
6/14/2022,AU_ArmyBay,22EV3807-001-0,Detected,NULL
10/6/2021,AU_Beachlands,21EV2402-001-0,Detected,NULL
10/8/2021,AU_Beachlands,21EV2483-001-0,Detected,NULL
10/13/2021,AU_Beachlands,21EV2578-001-0,Detected,NULL
10/15/2021,AU_Beachlands,21EV2650-001-0,Detected,NULL
10/20/2021,AU_Beachlands,21EV2745-001-0,Detected,NULL
10/22/2021,AU_Beachlands,21EV2836-001-0,Detected,NULL
2/14/2022,AU_Beachlands,22EV1142-001-0,Detected,NULL
2/16/2022,AU_Beachlands,22EV1143-001-0,Detected,NULL
2/21/2022,AU_Beachlands,22EV1288-001-0,Detected,NULL
2/23/2022,AU_Beachlands,22EV1339-001-0,Detected,NULL
2/28/2022,AU_Beachlands,22EV1453-001-0,Detected,NULL
3/2/2022,AU_Beachlands,22EV1536-001-0,Detected,NULL
3/7/2022,AU_Beachlands,22EV1676-001-0,Detected,NULL
3/16/2022,AU_Beachlands,22EV1863-001-0,Detected,NULL
3/23/2022,AU_Beachlands,22EV2021-001-0,Detected,NULL
3/30/2022,AU_Beachlands,22EV2183-001-0,Detected,NULL
4/6/2022,AU_Beachlands,22EV2342-001-0,Detected,NULL
4/13/2022,AU_Beachlands,22EV2530-001-0,Detected,NULL
4/20/2022,AU_Beachlands,22EV2643-001-0,Detected,NULL
4/27/2022,AU_Beachlands,22EV2765-001-0,Detected,NULL
5/4/2022,AU_Beachlands,22EV2897-001-0,Detected,NULL
5/11/2022,AU_Beachlands,22EV3063-001-0,Detected,NULL
5/18/2022,AU_Beachlands,22EV3216-001-0,Detected,NULL
