Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Auckland Aero Amdr,17355,C74072,-37.013,174.79,7,T,N/A
"Auckland, Albany",1412,A64772,-36.74956,174.75555,44,H,N/A
"Auckland, Henderson North",1423,A64863,-36.85539,174.62383,7,H,N/A
"Auckland, Mangere 2 Ews",43711,C64973,-36.9648,174.78052,16,H,Niwa
"Auckland, Motat Ews",41351,A6487G,-36.86297,174.71185,16,H,Niwa
"Auckland, North Shore Albany Ews",37852,A64776,-36.74827,174.71377,64,H,Niwa
"Auckland, Whenuapai Aws",23976,A64762,-36.78698,174.63045,26,H,Metservice
"Auckland,Owairaka",1468,A64971,-36.893,174.726,41,G,N/A
Leigh 2 Ews,1340,A64282,-36.26925,174.7992,27,H,N/A
Manukau Heads Ews,45217,A74054,-37.05299,174.54906,220,H,Niwa
Pukekohe Ews,2006,C74283,-37.20637,174.86384,88,H,Niwa
Reefton Ews,3925,F21182,-42.116,171.86,198,G,Niwa / West Coast Rural Fire Dis
Warkworth Ews,17838,A64464,-36.43435,174.66766,72,H,Niwa
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Rain: Daily,,,,,,,
Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Auckland Aero,27/07/2021,7.2,-,0,6.1,24,D
"Auckland, Henderson North",27/07/2021,13.8,-,0,13,24,D
"Auckland, Mangere 2 Ews",27/07/2021,8.4,-,0,7.4,24,D
"Auckland, Motat Ews",27/07/2021,6.4,-,0,5.6,24,D
"Auckland, North Shore Albany Ews",27/07/2021,16.4,-,-,-,24,D
"Auckland, Whenuapai Aws",27/07/2021,10.2,-,0,9.4,24,D
Leigh 2 Ews,27/07/2021,4.2,-,0,2.6,24,D
Pukekohe Ews,27/07/2021,5.4,-,0,4.5,24,D
Reefton Ews,27/07/2021,34,-,0,33.7,24,D
Warkworth Ews,27/07/2021,9.2,-,0,7.6,24,D
Auckland Aero,28/07/2021,2.2,-,0,1.1,24,D
"Auckland, Henderson North",28/07/2021,3.6,-,0,2.8,24,D
"Auckland, Mangere 2 Ews",28/07/2021,1.8,-,0,0.8,24,D
"Auckland, Motat Ews",28/07/2021,2.4,-,0,1.6,24,D
"Auckland, North Shore Albany Ews",28/07/2021,0.2,-,-,-,24,D
"Auckland, Whenuapai Aws",28/07/2021,1.6,-,0,0.8,24,D
Leigh 2 Ews,28/07/2021,0.4,-,1.2,0,24,D
Pukekohe Ews,28/07/2021,3.8,-,0,2.9,24,D
Reefton Ews,28/07/2021,5.2,-,0,4.9,24,D
Warkworth Ews,28/07/2021,0.2,-,1.4,0,24,D
Auckland Aero,29/07/2021,0.4,-,0.7,0,24,D
"Auckland, Henderson North",29/07/2021,0,-,0.8,0,24,D
"Auckland, Mangere 2 Ews",29/07/2021,0,-,1,0,24,D
"Auckland, Motat Ews",29/07/2021,0,-,0.8,0,24,D
"Auckland, North Shore Albany Ews",29/07/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",29/07/2021,0.1,-,0.7,0,24,D
Leigh 2 Ews,29/07/2021,0,-,2.7,0,24,D
Pukekohe Ews,29/07/2021,5.8,-,0,4.9,24,D
Reefton Ews,29/07/2021,0,-,0.3,0,24,D
Warkworth Ews,29/07/2021,0,-,2.9,0,24,D
Auckland Aero,30/07/2021,0,-,1.7,0,24,D
"Auckland, Henderson North",30/07/2021,0.1,-,1.5,0,24,D
"Auckland, Mangere 2 Ews",30/07/2021,0,-,2,0,24,D
"Auckland, Motat Ews",30/07/2021,0,-,1.6,0,24,D
"Auckland, North Shore Albany Ews",30/07/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",30/07/2021,0.2,-,1.4,0,24,D
Leigh 2 Ews,30/07/2021,2.4,-,1.9,0,24,D
Pukekohe Ews,30/07/2021,0,-,0.9,0,24,D
Reefton Ews,30/07/2021,1,-,0,0.5,24,D
Warkworth Ews,30/07/2021,0.4,-,4.1,0,24,D
Auckland Aero,31/07/2021,0.2,-,2.6,0,24,D
"Auckland, Henderson North",31/07/2021,0.9,-,1.4,0,24,D
"Auckland, Mangere 2 Ews",31/07/2021,0.4,-,2.6,0,24,D
"Auckland, Motat Ews",31/07/2021,1.2,-,1.2,0,24,D
"Auckland, North Shore Albany Ews",31/07/2021,0.6,-,-,-,24,D
"Auckland, Whenuapai Aws",31/07/2021,1.4,-,0.8,0,24,D
Leigh 2 Ews,31/07/2021,4.2,-,0,0.7,24,D
Pukekohe Ews,31/07/2021,0,-,1.8,0,24,D
Reefton Ews,31/07/2021,0,-,0.3,0,24,D
Warkworth Ews,31/07/2021,0.2,-,5.5,0,24,D
Auckland Aero,1/8/2021,0,-,3.7,0,24,D
"Auckland, Henderson North",1/8/2021,0,-,2.3,0,24,D
"Auckland, Mangere 2 Ews",1/8/2021,0,-,3.5,0,24,D
"Auckland, Motat Ews",1/8/2021,0,-,2.1,0,24,D
"Auckland, North Shore Albany Ews",1/8/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",1/8/2021,0,-,1.6,0,24,D
Leigh 2 Ews,1/8/2021,0.2,-,1.4,0,24,D
Pukekohe Ews,1/8/2021,0,-,2.7,0,24,D
Reefton Ews,1/8/2021,0,-,0.5,0,24,D
Warkworth Ews,1/8/2021,0,-,7,0,24,D
Auckland Aero,2/8/2021,1.8,-,3.6,0,24,D
"Auckland, Henderson North",2/8/2021,0.5,-,3.2,0,24,D
"Auckland, Mangere 2 Ews",2/8/2021,1.2,-,3.9,0,24,D
"Auckland, Motat Ews",2/8/2021,0.2,-,3.3,0,24,D
"Auckland, North Shore Albany Ews",2/8/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",2/8/2021,0.1,-,2.9,0,24,D
Leigh 2 Ews,2/8/2021,0,-,3.4,0,24,D
Pukekohe Ews,2/8/2021,0,-,3.9,0,24,D
Reefton Ews,2/8/2021,1.4,-,0,0.1,24,D
Warkworth Ews,2/8/2021,0,-,9.1,0,24,D
Auckland Aero,3/8/2021,3.2,-,2.1,0,24,D
"Auckland, Henderson North",3/8/2021,5.4,-,0,0.8,24,D
"Auckland, Mangere 2 Ews",3/8/2021,2.6,-,2.8,0,24,D
"Auckland, Motat Ews",3/8/2021,4.6,-,0.1,0,24,D
"Auckland, North Shore Albany Ews",3/8/2021,3.6,-,-,-,24,D
"Auckland, Whenuapai Aws",3/8/2021,6.3,-,0,2,24,D
Leigh 2 Ews,3/8/2021,10.4,-,0,4.9,24,D
Pukekohe Ews,3/8/2021,4,-,1.2,0,24,D
Reefton Ews,3/8/2021,6.2,-,0,5.5,24,D
Warkworth Ews,3/8/2021,8.2,-,3,0,24,D
Auckland Aero,4/8/2021,2,-,1.7,0,24,D
"Auckland, Henderson North",4/8/2021,5.3,-,0,3.9,24,D
"Auckland, Mangere 2 Ews",4/8/2021,6.4,-,0,2,24,D
"Auckland, Motat Ews",4/8/2021,1,-,0.5,0,24,D
"Auckland, North Shore Albany Ews",4/8/2021,2,-,-,-,24,D
"Auckland, Whenuapai Aws",4/8/2021,2.5,-,0,1.1,24,D
Leigh 2 Ews,4/8/2021,2,-,0.1,0,24,D
Pukekohe Ews,4/8/2021,0.6,-,1.9,0,24,D
Reefton Ews,4/8/2021,0,-,0.7,0,24,D
Warkworth Ews,4/8/2021,0.8,-,4.2,0,24,D
Auckland Aero,5/8/2021,1.2,-,2.2,0,24,D
"Auckland, Henderson North",5/8/2021,1.3,-,0.1,0,24,D
"Auckland, Mangere 2 Ews",5/8/2021,1.2,-,0.3,0,24,D
"Auckland, Motat Ews",5/8/2021,0.8,-,1.1,0,24,D
"Auckland, North Shore Albany Ews",5/8/2021,1.6,-,-,-,24,D
"Auckland, Whenuapai Aws",5/8/2021,1.3,-,0.1,0,24,D
Leigh 2 Ews,5/8/2021,1,-,1.1,0,24,D
Pukekohe Ews,5/8/2021,2.4,-,0.7,0,24,D
Reefton Ews,5/8/2021,8,-,0,6.6,24,D
Warkworth Ews,5/8/2021,0.4,-,5.9,0,24,D
Auckland Aero,6/8/2021,0.4,-,3.5,0,24,D
"Auckland, Henderson North",6/8/2021,3.7,-,0,2.2,24,D
"Auckland, Mangere 2 Ews",6/8/2021,0.6,-,1.3,0,24,D
"Auckland, Motat Ews",6/8/2021,1,-,1.5,0,24,D
"Auckland, North Shore Albany Ews",6/8/2021,3,-,-,-,24,D
"Auckland, Whenuapai Aws",6/8/2021,5.2,-,0,3.8,24,D
Leigh 2 Ews,6/8/2021,0.2,-,3,0,24,D
Pukekohe Ews,6/8/2021,3.2,-,0,1.2,24,D
