Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Akaroa Ews,36593,H32895,-43.80938,172.96574,45,H,Niwa
Ashburton Aero Aws,26170,H31983,-43.90328,171.80413,88,H,Metservice
Balmoral East Cws,42704,H22881,-42.83025,172.83463,172,H,Niwa
Bromley Ews,43967,H3257J,-43.52828,172.72096,3,H,Niwa
Chertsey Cws,39661,H31793,-43.79393,171.9607,108,H,Niwa
Cheviot Ews,31832,H23825,-42.82722,173.22409,75,H,Niwa
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa
Culverden Aws,37651,H22785,-42.77014,172.88947,181,H,Metservice
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa
Christchurch Botanic Gardens Ews,44763,H3256Q,-43.5294,172.62,17,H,Niwa
Diamond Harbour Ews,40985,H32674,-43.63312,172.72808,122,H,Niwa
Hanmer Forest Ews,11234,G22582,-42.53433,172.85098,363,H,Niwa/Carter Holt Harvey Forest
Le Bons Bay Aws,4960,H33712,-43.7461,173.1219,238,H,Metservice
"Lincoln, Broadfield Ews",17603,H32645,-43.62622,172.4704,18,H,Niwa/Plant & Food Research
"Lismore, Racemans House Cws",39845,H31944,-43.9207,171.4856,168,H,Niwa
Medbury Cws,41282,H22863,-42.88031,172.68964,232,H,Niwa
Methven Cws,36645,H31665,-43.63978,171.65205,313,H,Niwa
Ohoka Cws,43251,H32359,-43.3423,172.56574,,H,Niwa
Rangiora Ews,17244,H32364,-43.32858,172.61114,23,H,Niwa
Waiau School Cws,36157,H23605,-42.653,173.043,136,G,Niwa
Waipara West Ews,26607,H32063,-43.07026,172.65344,130,H,Niwa
Wakanui 2 Cws,41200,H31986,-43.97167,171.81097,53,H,Niwa
Winchmore 2 Ews,42899,H31772,-43.78935,171.79032,164,H,Niwa
Waipara North Branch Ews,45225,H22945,-42.94096,172.42789,497,H,Niwa
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Rain: Daily,,,,,,,
Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Akaroa Ews,27/07/2021,5.8,-,0,3.4,24,D
Ashburton Aero Aws,27/07/2021,2.6,-,0,0.3,24,D
Balmoral East Cws,27/07/2021,4.6,-,2.4,0,24,D
Bromley Ews,27/07/2021,0.2,-,11.6,0,24,D
Chertsey Cws,27/07/2021,3.6,-,0,0.5,24,D
Cheviot Ews,27/07/2021,0.8,-,37.6,0,24,D
Christchurch Aero,27/07/2021,2.8,-,0,0.8,24,D
"Christchurch, Kyle St Ews",27/07/2021,2,-,3.7,0,24,D
Culverden Aws,27/07/2021,3.8,-,3.2,0,24,D
Cass Ews,27/07/2021,20.4,-,-,-,24,D
Diamond Harbour Ews,27/07/2021,4,-,0.9,0,24,D
Hanmer Forest Ews,27/07/2021,1.2,-,0.6,0,24,D
Le Bons Bay Aws,27/07/2021,4.2,-,22.5,0,24,D
"Lincoln, Broadfield Ews",27/07/2021,5.6,-,0,1,24,D
"Lismore, Racemans House Cws",27/07/2021,5.2,-,0,2.5,24,D
Medbury Cws,27/07/2021,2.4,-,3.2,0,24,D
Methven Cws,27/07/2021,14.6,-,-,-,24,D
Ohoka Cws,27/07/2021,2.4,-,0,0.7,24,D
Rangiora Ews,27/07/2021,1.8,-,2.8,0,24,D
Waipara West Ews,27/07/2021,4.8,-,3.6,0,24,D
Wakanui 2 Cws,27/07/2021,6.6,-,0,3.9,24,D
Winchmore 2 Ews,27/07/2021,3.4,-,0,0.1,24,D
Akaroa Ews,28/07/2021,10.4,-,0,9.7,24,D
Ashburton Aero Aws,28/07/2021,0,-,0.7,0,24,D
Balmoral East Cws,28/07/2021,0.8,-,2.6,0,24,D
Bromley Ews,28/07/2021,0.6,-,11.7,0,24,D
Chertsey Cws,28/07/2021,0,-,0.8,0,24,D
Cheviot Ews,28/07/2021,0.8,-,37.4,0,24,D
Christchurch Aero,28/07/2021,3,-,0,2.3,24,D
"Christchurch, Kyle St Ews",28/07/2021,2,-,2.2,0,24,D
Culverden Aws,28/07/2021,0.6,-,3.6,0,24,D
Cass Ews,28/07/2021,2,-,-,-,24,D
Diamond Harbour Ews,28/07/2021,4.6,-,0,3,24,D
Hanmer Forest Ews,28/07/2021,3.6,-,0,2.6,24,D
Le Bons Bay Aws,28/07/2021,2.6,-,20.6,0,24,D
"Lincoln, Broadfield Ews",28/07/2021,1,-,0,0.3,24,D
"Lismore, Racemans House Cws",28/07/2021,0,-,0.7,0,24,D
Medbury Cws,28/07/2021,0.4,-,3.8,0,24,D
Methven Cws,28/07/2021,0.2,-,-,-,24,D
Ohoka Cws,28/07/2021,1.6,-,0,1.1,24,D
Rangiora Ews,28/07/2021,1.6,-,1.7,0,24,D
Waipara West Ews,28/07/2021,0.8,-,3.9,0,24,D
Wakanui 2 Cws,28/07/2021,0,-,0.7,0,24,D
Winchmore 2 Ews,28/07/2021,0,-,0.8,0,24,D
Akaroa Ews,29/07/2021,0,-,0.7,0,24,D
Ashburton Aero Aws,29/07/2021,0,-,1.3,0,24,D
Balmoral East Cws,29/07/2021,0,-,3.7,0,24,D
Bromley Ews,29/07/2021,0,-,12.3,0,24,D
Chertsey Cws,29/07/2021,0,-,1.6,0,24,D
Cheviot Ews,29/07/2021,0,-,37.9,0,24,D
Christchurch Aero,29/07/2021,0,-,0.7,0,24,D
"Christchurch, Kyle St Ews",29/07/2021,0,-,2.8,0,24,D
Culverden Aws,29/07/2021,0,-,4.7,0,24,D
Cass Ews,29/07/2021,0,-,-,-,24,D
Diamond Harbour Ews,29/07/2021,0,-,0.7,0,24,D
Hanmer Forest Ews,29/07/2021,0,-,0.4,0,24,D
Le Bons Bay Aws,29/07/2021,0,-,21.2,0,24,D
"Lincoln, Broadfield Ews",29/07/2021,0,-,0.7,0,24,D
"Lismore, Racemans House Cws",29/07/2021,0,-,1.3,0,24,D
Medbury Cws,29/07/2021,0,-,4.9,0,24,D
Methven Cws,29/07/2021,0,-,-,-,24,D
Ohoka Cws,29/07/2021,0.2,-,0.3,0,24,D
Rangiora Ews,29/07/2021,0,-,2.3,0,24,D
Waipara West Ews,29/07/2021,0,-,4.9,0,24,D
Wakanui 2 Cws,29/07/2021,0,-,1.3,0,24,D
Winchmore 2 Ews,29/07/2021,0,-,1.6,0,24,D
Akaroa Ews,30/07/2021,0,-,1.3,0,24,D
Ashburton Aero Aws,30/07/2021,0.2,-,1.8,0,24,D
Balmoral East Cws,30/07/2021,0,-,4.7,0,24,D
Bromley Ews,30/07/2021,0.2,-,12.8,0,24,D
Chertsey Cws,30/07/2021,0,-,2.4,0,24,D
Cheviot Ews,30/07/2021,0,-,38.5,0,24,D
Christchurch Aero,30/07/2021,0.2,-,1.1,0,24,D
"Christchurch, Kyle St Ews",30/07/2021,0,-,3.4,0,24,D
Culverden Aws,30/07/2021,0,-,5.7,0,24,D
Cass Ews,30/07/2021,0,-,-,-,24,D
Diamond Harbour Ews,30/07/2021,0,-,1.5,0,24,D
Hanmer Forest Ews,30/07/2021,0,-,0.9,0,24,D
Le Bons Bay Aws,30/07/2021,0,-,21.9,0,24,D
"Lincoln, Broadfield Ews",30/07/2021,0,-,1.4,0,24,D
"Lismore, Racemans House Cws",30/07/2021,0,-,2,0,24,D
