Station,Date,Amount.mm.,SofG,Deficit.mm.,Runoff.mm.,Period.Hrs.,Freq
Auckland Aero,2021-09-13,0.4,NA,9,0,24,D
Auckland Aero,2021-09-14,0.2,NA,11.3,0,24,D
Auckland Aero,2021-09-15,3.8,NA,10.1,0,24,D
Auckland Aero,2021-09-16,11.2,NA,1.5,0,24,D
Auckland Aero,2021-09-17,12.2,NA,0,8.1,24,D
Auckland Aero,2021-09-18,0.2,NA,2.4,0,24,D
Auckland Aero,2021-09-19,0,NA,4.9,0,24,D
Auckland Aero,2021-09-20,0.6,NA,6.9,0,24,D
Auckland Aero,2021-09-21,0,NA,9.5,0,24,D
Auckland Aero,2021-09-22,0,NA,12.1,0,24,D
Auckland Aero,2021-09-23,42.2,NA,0,27.6,24,D
Auckland Aero,2021-09-24,8,NA,0,5.4,24,D
Auckland Aero,2021-09-25,0,NA,2.6,0,24,D
Auckland Aero,2021-09-26,0.2,NA,4.9,0,24,D
Auckland Aero,2021-09-27,0.6,NA,6.9,0,24,D
Auckland Aero,2021-09-28,0,NA,9.5,0,24,D
Auckland Aero,2021-09-29,1.6,NA,10.5,0,24,D
Auckland Aero,2021-09-30,2,NA,11,0,24,D
Auckland Aero,2021-10-01,6.6,NA,7,0,24,D
Auckland Aero,2021-10-02,0,NA,10.4,0,24,D
Auckland Aero,2021-10-03,0,NA,13.9,0,24,D
Auckland Aero,2021-10-04,2.8,NA,14.5,0,24,D
Auckland Aero,2021-10-05,1.2,NA,16.8,0,24,D
Auckland Aero,2021-10-06,0.4,NA,19.8,0,24,D
Auckland Aero,2021-10-07,0.8,NA,22.4,0,24,D
Auckland Aero,2021-10-08,13.6,NA,12.3,0,24,D
Auckland Aero,2021-10-09,0.6,NA,15.1,0,24,D
Auckland Aero,2021-10-10,0,NA,18.5,0,24,D
Auckland Aero,2021-10-11,0,NA,22,0,24,D
Auckland Aero,2021-10-12,10,NA,15.4,0,24,D
Auckland Aero,2021-10-13,2.4,NA,16.4,0,24,D
Auckland Aero,2021-10-14,0,NA,19.9,0,24,D
Auckland Aero,2021-10-15,0,NA,23.3,0,24,D
Auckland Aero,2021-10-16,0,NA,26.7,0,24,D
Auckland Aero,2021-10-17,0,NA,30.2,0,24,D
Auckland Aero,2021-10-18,19.4,NA,14.2,0,24,D
Auckland Aero,2021-10-19,0.2,NA,17.5,0,24,D
Auckland Aero,2021-10-20,0,NA,20.9,0,24,D
Auckland Aero,2021-10-21,0,NA,24.3,0,24,D
Auckland Aero,2021-10-22,2.8,NA,25,0,24,D
Auckland Aero,2021-10-23,0.4,NA,28,0,24,D
Auckland Aero,2021-10-24,5,NA,26.4,0,24,D
Auckland Aero,2021-10-25,3.4,NA,26.5,0,24,D
Auckland Aero,2021-10-26,0,NA,29.9,0,24,D
Auckland Aero,2021-10-27,0.2,NA,33.1,0,24,D
Auckland Aero,2021-10-28,7.4,NA,29.2,0,24,D
Auckland Aero,2021-10-29,18.2,NA,14.4,0,24,D
Auckland Aero,2021-10-30,0,NA,17.8,0,24,D
Auckland Aero,2021-10-31,15,NA,6.3,0,24,D
Auckland Aero,2021-11-01,1,NA,8.7,0,24,D
Auckland Aero,2021-11-02,0,NA,13.2,0,24,D
Auckland Aero,2021-11-03,0,NA,17.7,0,24,D
Auckland Aero,2021-11-04,6.6,NA,15.6,0,24,D
Auckland Aero,2021-11-05,0.2,NA,19.9,0,24,D
Auckland Aero,2021-11-06,0,NA,24.4,0,24,D
Auckland Aero,2021-11-07,0.2,NA,28.7,0,24,D
Auckland Aero,2021-11-08,0,NA,33.2,0,24,D
Auckland Aero,2021-11-09,0,NA,37.7,0,24,D
Auckland Aero,2021-11-10,0.2,NA,42,0,24,D
Auckland Aero,2021-11-11,0,NA,46.5,0,24,D
Auckland Aero,2021-11-12,0,NA,51,0,24,D
Auckland Aero,2021-11-13,12.2,NA,43.3,0,24,D
Auckland Aero,2021-11-14,6.8,NA,40.9,0,24,D
Auckland Aero,2021-11-15,1.2,NA,44.2,0,24,D
Auckland Aero,2021-11-16,0,NA,48.7,0,24,D
Auckland Aero,2021-11-17,4.2,NA,49,0,24,D
Auckland Aero,2021-11-18,0.2,NA,53.3,0,24,D
Auckland Aero,2021-11-19,0,NA,57.8,0,24,D
Auckland Aero,2021-11-20,0,NA,62.3,0,24,D
Auckland Aero,2021-11-21,0,NA,66.8,0,24,D
Auckland Aero,2021-11-22,0,NA,71.3,0,24,D
Auckland Aero,2021-11-23,0,NA,75.8,0,24,D
Auckland Aero,2021-11-24,3.8,NA,76.4,0,24,D
Auckland Aero,2021-11-25,1,NA,79.8,0,24,D
Auckland Aero,2021-11-26,0.2,NA,83.8,0,24,D
Auckland Aero,2021-11-27,0,NA,87.8,0,24,D
Auckland Aero,2021-11-28,0,NA,91.5,0,24,D
Auckland Aero,2021-11-29,0,NA,95,0,24,D
Auckland Aero,2021-11-30,0,NA,98.3,0,24,D
Auckland Aero,2021-12-01,0,NA,101.4,0,24,D
Auckland Aero,2021-12-02,0.2,NA,104.6,0,24,D
Auckland Aero,2021-12-03,0,NA,107.7,0,24,D
Auckland Aero,2021-12-04,0,NA,110.7,0,24,D
Auckland Aero,2021-12-05,0.8,NA,112.6,0,24,D
Auckland Aero,2021-12-06,0,NA,115.2,0,24,D
Auckland Aero,2021-12-07,0,NA,117.6,0,24,D
Auckland Aero,2021-12-08,0,NA,119.9,0,24,D
Auckland Aero,2021-12-09,0,NA,122,0,24,D
Auckland Aero,2021-12-11,0,NA,125.8,0,24,D
Auckland Aero,2021-12-12,3,NA,124.4,0,24,D
Auckland Aero,2021-12-13,24.4,NA,101.8,0,24,D
Auckland Aero,2021-12-14,35.2,NA,70,0,24,D
Auckland Aero,2021-12-15,34.2,NA,41,0,24,D
Auckland Aero,2021-12-16,1.2,NA,45,0,24,D
Auckland Aero,2021-12-17,6.6,NA,43.6,0,24,D
Auckland Aero,2021-12-18,0.4,NA,48.4,0,24,D
Auckland Aero,2021-12-19,0.2,NA,53.5,0,24,D
Auckland Aero,2021-12-20,0,NA,58.7,0,24,D
Auckland Aero,2021-12-21,0,NA,63.9,0,24,D
Auckland Aero,2021-12-22,0,NA,69.1,0,24,D
Auckland Aero,2021-12-23,0,NA,74.3,0,24,D
Auckland Aero,2021-12-24,0,NA,79.6,0,24,D
Auckland Aero,2021-12-25,0,NA,84.5,0,24,D
Auckland Aero,2021-12-26,0,NA,89,0,24,D
Auckland Aero,2021-12-27,0,NA,93.3,0,24,D
Auckland Aero,2021-12-28,0,NA,97.2,0,24,D
Auckland Aero,2021-12-29,0,NA,100.9,0,24,D
Auckland Aero,2021-12-30,0,NA,104.3,0,24,D
Auckland Aero,2021-12-31,0,NA,107.5,0,24,D
Auckland Aero,2022-01-01,0,NA,110.5,0,24,D
Auckland Aero,2022-01-02,0,NA,113.8,0,24,D
Auckland Aero,2022-01-03,0,NA,116.9,0,24,D
Auckland Aero,2022-01-04,0,NA,119.7,0,24,D
Auckland Aero,2022-01-05,0,NA,122.2,0,24,D
Auckland Aero,2022-01-06,0,NA,124.6,0,24,D
Auckland Aero,2022-01-07,0,NA,126.7,0,24,D
Auckland Aero,2022-01-08,0,NA,128.7,0,24,D
Auckland Aero,2022-01-09,0,NA,130.5,0,24,D
Auckland Aero,2022-01-10,0,NA,132.1,0,24,D
Auckland Aero,2022-01-11,0,NA,133.6,0,24,D
