Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Baring Head,18234,D14482,-41.40828,174.87146,79,H,Niwa
Blenheim Aero Aws,4326,G13585,-41.52135,173.86432,36,H,Metservice
Blenheim Research Ews,12430,G13495,-41.49891,173.96285,4,H,N/A
Brothers Island Aws,4395,G14142,-41.1033,174.44174,68,H,Metservice
Cape Campbell Aws,4424,G14722,-41.7265,174.2762,6,H,Metservice
Levin Aws,3275,E05620,-40.61986,175.25954,15,H,Metservice
Levin Ews,41352,E0562B,-40.62699,175.26193,23,H,Niwa
Mana Island Aws,25531,E14073,-41.08676,174.77996,110,H,Metservice
Martinborough Ews,21938,D15234,-41.25231,175.38985,20,H,Niwa
Masterton Aero Aws,36735,D0596H,-40.97617,175.63899,105,H,Metservice
Masterton Ews,40984,D0596I,-40.98155,175.67932,90,H,Niwa
"Masterton, Te Ore Ore Cws",37662,D05974,-40.957,175.707,110,G,Niwa
"Masterton, Te Ore Ore Srig",37891,D05975,-40.957,175.707,110,G,Niwa
Maungaraki 3,38794,E1428E,-41.21207,174.87641,138,H,Niwa
Ngawi Aws,2685,D15521,-41.5885,175.2337,8,H,Metservice
Paraparaumu Aero,3145,E04991,-40.907,174.984,5,G,N/A
Paraparaumu Aero Aws,8567,E04994,-40.90455,174.98517,8,H,Metservice
Paraparaumu Ews,12442,E04995,-40.90392,174.98437,5,H,Niwa
"Porirua, Elsdon Park Aws",41559,E1418H,-41.127,174.835,7,G,Niwa/Porirua City Council
Stephens Island Aws,26169,G04602,-40.66511,173.99969,188,H,Metservice
"Upper Hutt, Trentham Ews",40750,E1510M,-41.14027,175.04283,50,H,Niwa
Wellington Aero,3445,E14387,-41.322,174.804,4,G,N/A
"Wellington, Greta Point Cws",41212,E1438H,-41.30243,174.80574,3,H,Niwa
"Wellington, Kelburn 2",12443,E1427J,-41.286,174.768,125,G,Niwa
"Wellington, Kelburn Aws",25354,E1427P,-41.28445,174.76794,125,H,Metservice
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,
,,,,,,,
Rain: Daily,,,,,,,
Station,Date(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Baring Head,27/07/2021,4.4,-,0,1.9,24,D
Blenheim Aero Aws,27/07/2021,13.4,-,0,12.6,24,D
Blenheim Research Ews,27/07/2021,10.4,-,0,9.6,24,D
Brothers Island Aws,27/07/2021,4.4,-,0,3.9,24,D
Cape Campbell Aws,27/07/2021,5.2,-,0,4.4,24,D
Levin Aws,27/07/2021,9,-,0,7.7,24,D
Levin Ews,27/07/2021,8.8,-,0,7.2,24,D
Mana Island Aws,27/07/2021,5.2,-,0,4.7,24,D
Martinborough Ews,27/07/2021,1.4,-,1.5,0,24,D
Masterton Aero Aws,27/07/2021,4.2,-,0,3.3,24,D
Masterton Ews,27/07/2021,2.2,-,0,0.5,24,D
"Masterton, Te Ore Ore Cws",27/07/2021,1.2,-,0.1,0,24,D
"Masterton, Te Ore Ore Srig",27/07/2021,1.6,-,1.1,0,24,D
Maungaraki 3,27/07/2021,4.2,-,0,2.8,24,D
Ngawi Aws,27/07/2021,1,-,1.7,0,24,D
Paraparaumu Aero,27/07/2021,9.2,1,0,7.3,24,D
Paraparaumu Aero Aws,27/07/2021,9.4,-,0,7.8,24,D
Paraparaumu Ews,27/07/2021,9,-,0,6.8,24,D
"Porirua, Elsdon Park Aws",27/07/2021,5.6,-,0,5.1,24,D
Stephens Island Aws,27/07/2021,11.8,-,-,-,24,D
"Upper Hutt, Trentham Ews",27/07/2021,5.8,-,0,5.1,24,D
Wellington Aero,27/07/2021,5.5,-,0,3.6,24,D
"Wellington, Greta Point Cws",27/07/2021,6.8,-,0,5.1,24,D
"Wellington, Kelburn 2",27/07/2021,11.2,-,0,10.4,24,D
"Wellington, Kelburn Aws",27/07/2021,11.2,-,0,10.4,24,D
Baring Head,28/07/2021,7.2,-,0,6.4,24,D
Blenheim Aero Aws,28/07/2021,0.2,-,0.6,0,24,D
Blenheim Research Ews,28/07/2021,0,-,0.8,0,24,D
Brothers Island Aws,28/07/2021,2.2,-,0,1.7,24,D
Cape Campbell Aws,28/07/2021,0.2,-,0.6,0,24,D
Levin Aws,28/07/2021,4,-,0,3.4,24,D
Levin Ews,28/07/2021,4.6,-,0,4.1,24,D
Mana Island Aws,28/07/2021,12.2,-,0,11.7,24,D
Martinborough Ews,28/07/2021,8.2,-,0,5.9,24,D
Masterton Aero Aws,28/07/2021,6,-,0,5.4,24,D
Masterton Ews,28/07/2021,4.8,-,0,4.1,24,D
"Masterton, Te Ore Ore Cws",28/07/2021,4.8,-,0,4.1,24,D
"Masterton, Te Ore Ore Srig",28/07/2021,2.6,-,0,0.8,24,D
Maungaraki 3,28/07/2021,12.4,-,0,11.8,24,D
Ngawi Aws,28/07/2021,2.2,-,0.3,0,24,D
Paraparaumu Aero,28/07/2021,15.9,1,0,15.2,24,D
Paraparaumu Aero Aws,28/07/2021,17.2,-,0,16.5,24,D
Paraparaumu Ews,28/07/2021,15.4,-,0,14.7,24,D
"Porirua, Elsdon Park Aws",28/07/2021,12.4,-,0,11.9,24,D
Stephens Island Aws,28/07/2021,0,-,-,-,24,D
"Upper Hutt, Trentham Ews",28/07/2021,14,-,0,13.4,24,D
Wellington Aero,28/07/2021,12.7,-,0,11.9,24,D
"Wellington, Greta Point Cws",28/07/2021,11.2,-,0,10.4,24,D
"Wellington, Kelburn 2",28/07/2021,7.8,-,0,7,24,D
"Wellington, Kelburn Aws",28/07/2021,7.4,-,0,6.6,24,D
Baring Head,29/07/2021,0.2,-,0.6,0,24,D
Blenheim Aero Aws,29/07/2021,0,-,1.3,0,24,D
Blenheim Research Ews,29/07/2021,0,-,1.5,0,24,D
Brothers Island Aws,29/07/2021,0,-,0.5,0,24,D
Cape Campbell Aws,29/07/2021,0,-,1.3,0,24,D
Levin Aws,29/07/2021,1.8,-,0,1.2,24,D
Levin Ews,29/07/2021,1.2,-,0,0.7,24,D
Mana Island Aws,29/07/2021,0,-,0.5,0,24,D
Martinborough Ews,29/07/2021,0,-,0.7,0,24,D
Masterton Aero Aws,29/07/2021,0.2,-,0.4,0,24,D
Masterton Ews,29/07/2021,0,-,0.7,0,24,D
